transaction_id,user_id,timestamp,type,category,amount,is_reckless
TXN001,U001,2025-10-01 10:15:00,Debit,Shopping,2500,true
TXN002,U001,2025-10-02 18:30:00,Debit,Food,450,false
TXN003,U001,2025-10-03 21:10:00,Debit,Entertainment,1200,true
TXN004,U001,2025-10-04 08:45:00,Credit,Salary,50000,false
TXN005,U001,2025-10-05 12:00:00,Debit,Travel,3800,true
TXN006,U001,2025-10-06 19:25:00,Debit,Food,600,false
TXN007,U001,2025-10-07 22:40:00,Debit,Shopping,1900,true
TXN008,U001,2025-10-08 09:10:00,Debit,Utilities,1300,false
TXN009,U001,2025-10-09 14:35:00,Debit,Health,800,false
TXN010,U001,2025-10-10 20:15:00,Debit,Entertainment,2500,true
TXN011,U001,2025-10-11 17:00:00,Debit,Shopping,2700,true
TXN012,U001,2025-10-12 08:50:00,Credit,Refund,1200,false
TXN013,U001,2025-10-13 11:25:00,Debit,Food,550,false
TXN014,U001,2025-10-14 23:15:00,Debit,Travel,4200,true
TXN015,U001,2025-10-15 16:45:00,Debit,Utilities,900,false
TXN016,U001,2025-10-16 13:10:00,Debit,Entertainment,1800,true
TXN017,U001,2025-10-17 10:30:00,Debit,Shopping,3000,true
TXN018,U001,2025-10-18 18:00:00,Debit,Food,650,false
TXN019,U001,2025-10-19 22:30:00,Debit,Health,950,false
TXN020,U001,2025-10-20 09:40:00,Credit,Gift,5000,false
TXN021,U002,2025-10-01 09:20:00,Debit,Food,300,false
TXN022,U002,2025-10-02 20:00:00,Debit,Shopping,800,false
TXN023,U002,2025-10-03 10:15:00,Credit,Salary,60000,false
TXN024,U002,2025-10-04 19:45:00,Debit,Travel,2200,true
TXN025,U002,2025-10-05 08:10:00,Debit,Utilities,1100,false
TXN026,U002,2025-10-06 17:30:00,Debit,Health,600,false
TXN027,U002,2025-10-07 21:50:00,Debit,Entertainment,900,true
TXN028,U002,2025-10-08 14:00:00,Debit,Food,400,false
TXN029,U002,2025-10-09 09:35:00,Credit,Bonus,3000,false
TXN030,U002,2025-10-10 11:15:00,Debit,Shopping,1000,false
TXN031,U002,2025-10-11 22:20:00,Debit,Entertainment,1500,true
TXN032,U002,2025-10-12 07:30:00,Debit,Food,350,false
TXN033,U002,2025-10-13 18:40:00,Debit,Utilities,700,false
TXN034,U002,2025-10-14 23:10:00,Debit,Travel,2600,true
TXN035,U002,2025-10-15 10:55:00,Credit,Refund,500,false
TXN036,U002,2025-10-16 16:25:00,Debit,Health,750,false
TXN037,U002,2025-10-17 20:05:00,Debit,Shopping,1400,false
TXN038,U002,2025-10-18 08:20:00,Debit,Food,280,false
TXN039,U002,2025-10-19 21:45:00,Debit,Entertainment,2000,true
TXN040,U002,2025-10-20 13:15:00,Credit,Gift,4000,false
