transaction_id,user_id,timestamp,category,merchant,amount,payment_mode,note,reckless
TXN00000,U036,2025-09-07 12:15:31,Food,"Rodriguez, Gray and Short",1668.22,Card,Bought snacks on impulse,0
TXN00001,U085,2025-04-07 04:44:46,Bills,"Reeves, Delacruz and Miranda",1311.91,UPI,Couldn't resist tablet,1
TXN00002,U013,2025-09-21 10:18:18,Travel,Gross-Contreras,1457.21,Card,Regular tablet purchase,0
TXN00003,U090,2025-09-27 13:51:44,Travel,Vargas-Larson,350.53,UPI,Casual Entertainment expense,0
TXN00004,U048,2025-06-20 17:28:19,Food,"Hunt, Howard and Bennett",1276.22,UPI,Overordered burger,0
TXN00005,U028,2025-09-09 04:13:04,Food,Ross-Cunningham,199.71,Card,Late-night ice cream order,1
TXN00006,U027,2025-02-28 11:17:18,Bills,Dawson Inc,208.67,UPI,Planned buy: earphones,0
TXN00007,U019,2025-04-20 01:09:54,Shopping,"Jordan, Riley and Ward",915.45,UPI,Household necessity: groceries,0
TXN00008,U082,2025-07-22 11:31:19,Travel,"Kennedy, Perez and Brown",324.4,Card,Monthly spend on Food,1
TXN00009,U055,2025-10-25 23:28:19,Food,Summers Ltd,400.32,UPI,Overordered coffee,1
TXN00010,U031,2025-08-29 23:54:12,Shopping,"Daniels, Garcia and Jones",262.63,UPI,Casual Medical expense,0
TXN00011,U071,2025-01-28 10:54:54,Shopping,Wood-Nguyen,1230.43,Card,Gifted tablet to friend,0
TXN00012,U069,2025-06-23 01:46:24,Travel,Anderson-Oliver,511.52,UPI,Planned buy: pizza,0
TXN00013,U040,2025-03-21 07:10:17,Entertainment,Gregory LLC,353.83,Card,Gifted tablet to friend,0
TXN00014,U070,2025-04-21 07:05:54,Medical,Chavez Group,618.57,UPI,Medical gym membership expense,1
TXN00015,U029,2025-06-04 22:39:14,Travel,Sullivan-Williams,1784.31,UPI,Shopping spree for earphones,1
TXN00016,U003,2025-02-28 01:40:27,Shopping,Cabrera-Ryan,542.68,UPI,Emotional purchase: shirt,0
TXN00017,U042,2025-01-28 22:17:17,Food,Burnett Group,1479.98,UPI,Bought earphones on impulse,1
TXN00018,U042,2025-02-28 12:33:28,Bills,Logan and Sons,1603.11,Card,Emotional purchase: headphones,0
TXN00019,U007,2025-08-30 16:16:06,Shopping,Cobb Group,276.84,UPI,Overordered ice cream,0
TXN00020,U065,2025-02-22 21:54:32,Entertainment,Nolan-Smith,548.92,Card,Recharged utility Zomato Gold,0
TXN00021,U083,2025-02-22 15:45:58,Shopping,"Grant, Roberts and Sanders",1275.61,Card,Bought extra Entertainment,1
TXN00022,U047,2025-07-26 10:05:55,Entertainment,Gilbert-King,76.71,Card,Household necessity: movie ticket,0
TXN00023,U093,2025-02-12 17:59:00,Travel,Evans PLC,1324.97,Card,Bought pasta with friends,0
TXN00024,U032,2025-07-23 22:38:34,Shopping,Burke-Oconnor,956.63,UPI,Household necessity: subscription,0
TXN00025,U009,2025-01-16 21:04:08,Travel,"Charles, Ortiz and Stuart",1225.4,UPI,Spent on Shopping weekend outing,0
TXN00026,U006,2025-09-14 12:34:09,Shopping,Calhoun-Gray,712.9,UPI,Bought insurance for movie ticket,0
TXN00027,U068,2025-08-22 12:16:07,Travel,"West, James and Duncan",1332.03,Card,Late-night biryani order,0
TXN00028,U060,2025-02-02 21:46:10,Shopping,"Wright, Noble and Dunlap",1008.99,Card,Splurged on Zara,0
TXN00029,U042,2025-01-03 08:07:18,Entertainment,Richards Group,1447.58,Card,Splurged on Dominos,0
TXN00030,U005,2025-07-24 12:09:42,Bills,Anderson and Sons,1814.88,UPI,Extra subscription to Zomato Gold,0
TXN00031,U011,2025-02-02 08:36:55,Entertainment,"Griffin, Allen and Strickland",175.95,UPI,Emotional purchase: groceries,0
TXN00032,U020,2025-01-22 10:00:26,Bills,Tapia-Wilson,1280.99,Card,Regular snacks purchase,0
TXN00033,U001,2025-09-03 01:45:08,Food,"Benjamin, Gilbert and Mcdowell",1346.69,Card,Casual Food expense,0
TXN00034,U054,2025-05-04 01:52:26,Food,Owens Inc,1637.12,UPI,Extra subscription to Spotify,1
TXN00035,U067,2025-03-28 22:50:25,Bills,Patton-Daniels,294.3,Card,Purchased pizza for daily use,1
